key,count,pdf_count,example,first_pdf,first_location,pdfs
a_zur_erhaltung_bestandbedrohter_pflanzen_und_pflanzengesellschaften,1,1,"a) zur Erhaltung bestandbedrohter Pflanzen und Pflanzengesellschaften,",NSG-7100-200,§ 3,NSG-7100-200
a_zur_unterhaltung_vorhandener_entwaesserungsgraeben,1,1,a)  zur Unterhaltung vorhandener Entwässerungsgräben;,NSG-7300-163,§ 5,NSG-7300-163
a_zur_unterhaltung_vorhandener_wege_strassen_und_durch,1,1,"a)  zur Unterhaltung vorhandener Wege, Straßen und Durch-",NSG-7300-185,§ 4 ist ferner nicht anzuwenden auf,NSG-7300-185
a_zur_unterhaltung_vorhandener_wege_strassen_und_durchlaesse,1,1,"a) zur Unterhaltung vorhandener Wege, Straßen und Durchlässe,",NSG-7300-141,§ 5,NSG-7300-141
ab_dem_30_april,1,1,ab dem 30. April.,NSG-7100-008,§ 6,NSG-7100-008
ab_hier_den_noerdlichen_grenzen_der_eisenbahngrundstuecke_flur,1,1,Ab hier den nördlichen Grenzen der Eisenbahngrundstücke Flur,NSG-7300-187,§ 2,NSG-7300-187
ab_hier_verlaeuft_die_naturschutzgebiets_grenze_auf_der_suedlichen,1,1,Ab hier verläuft die Naturschutzgebiets-Grenze auf der südlichen,NSG-7300-198,§ 2,NSG-7300-198
abbau_entstandener_lava_und_basaltaufschluesse,1,1,Abbau entstandener Lava- und Basaltaufschlüsse,NSG-7100-280,§ 3,NSG-7100-280
abbau_und_verkippungsgrenzen_duerfen_nicht_ueberschritten_werden,2,1,"Abbau- und Verkippungsgrenzen dürfen nicht überschritten werden,",NSG-7100-304,§ 4,NSG-7100-304
abbaugenehmigungen_erteilt_sind_oder_erteilt_werden,1,1,Abbaugenehmigungen erteilt sind oder erteilt werden.,NSG-7100-203,§ 5,NSG-7100-203
abbaut_sprengungen_oder_bohrungen_vornimmt_oder_die,1,1,"abbaut, Sprengungen oder Bohrungen vornimmt oder die",NSG-7100-129,§ 6,NSG-7100-129
abbiegend_bis_zum_gemeinsamen_grenzpunkt_der_flurstuecke_212,1,1,"abbiegend bis zum gemeinsamen Grenzpunkt der Flurstücke 212,",NSG-7100-248,§ 2,NSG-7100-248
abbrennen_von_hecken_oder_anderen_pflanzenbestaenden,1,1,7.  Abbrennen von Hecken oder anderen Pflanzenbeständen;,NSG-7100-032,§ 7,NSG-7100-032
abbrennen_von_schilf_hecken_oder_anderen_pflanzenbestaenden,1,1,"6.  Abbrennen von Schilf, Hecken oder anderen Pflanzenbeständen.",NSG-7100-044,§ 7,NSG-7100-044
abbrennt,1,1,abbrennt;,NSG-7100-050,§ 5,NSG-7100-050
abbrennt_oder_auf_sonstige_weise_beschaedigt,3,3,"abbrennt oder auf sonstige Weise beschädigt,",NSG-7100-272,§ 7,"NSG-7100-272,NSG-7100-278,NSG-7100-279"
abbrennt_oder_beschaedigt,14,14,abbrennt oder beschädigt;,NSG-7100-054,§ 5,"NSG-7100-054,NSG-7100-064,NSG-7100-071,NSG-7100-157,NSG-7100-177,NSG-7100-199,NSG-7100-210,NSG-7300-055,NSG-7300-069,NSG-7300-171,NSG-7300-173,NSG-7300-174,NSG-7300-175,NSG-7300-176"
abbrennt_oder_schaedigt,5,5,abbrennt oder schädigt;,NSG-7300-019,§ 6,"NSG-7300-019,NSG-7300-166,NSG-7300-167,NSG-7300-168,NSG-7300-169"
abbrennt_oder_sonst_wie_beschaedigt,5,5,abbrennt oder sonst wie beschädigt;,NSG-7300-046,§ 6,"NSG-7300-046,NSG-7300-051,NSG-7300-052,NSG-7300-053,NSG-7300-103"
abbrennt_oder_sonstwie_beschaedigt,2,1,abbrennt oder sonstwie beschädigt;,NSG-7300-004,§ 6,NSG-7300-004
abenteuerspiel_aufenthalts_reit_campier_verkaufsplatz_garten,1,1,"Abenteuerspiel-, Aufenthalts-, Reit-, Campier-, Verkaufsplatz, Garten,",NSG-7300-224,"§ 4 Nr. 1  bauliche Anlagen aller Art errichtet oder ändert, auch wenn sie",NSG-7300-224
abfaelle_aller_art_einzubringen,7,7,"11.  Abfälle aller Art einzubringen,",NSG-7100-105,§ 4,"NSG-7100-105,NSG-7100-138,NSG-7100-142,NSG-7100-149,NSG-7100-165,NSG-7100-167,NSG-7100-180"
abfaelle_aller_art_zu_lagern_oder_abzulagern,4,4,3.  Abfälle aller Art zu lagern oder abzulagern;,NSG-7100-104,§ 4,"NSG-7100-104,NSG-7100-106,NSG-7100-115,NSG-7100-128"
abfaelle_einschliesslich_gemaehtem_gras_und_laubabfaellen_zu_lagern,1,1,10.Abfälle einschließlich gemähtem Gras und Laubabfällen zu lagern.,NSG-7100-141,§ 4,NSG-7100-141
abfaelle_oder_sonstige_gegenstaende_abzulagern_oder_das_schutz,1,1,Abfälle oder sonstige Gegenstände abzulagern oder das Schutz-,NSG-7300-065,§ 4,NSG-7300-065
abfaelle_wegzuwerfen,1,1,Abfälle wegzuwerfen;,NSG-7300-063,§ 4,NSG-7300-063
abfaelle_zu_lagern_oder_abzulagern,2,2,6.  Abfälle zu lagern oder abzulagern;,NSG-7100-111,§ 4,"NSG-7100-111,NSG-7100-112"
abfallbeseitigungsanlagen,10,10,"4.  Abfallbeseitigungsanlagen,",NSG-7100-087,§ 4,"NSG-7100-087,NSG-7100-097,NSG-7100-120,NSG-7100-125,NSG-7100-156,NSG-7100-201,NSG-7100-216,NSG-7100-237,NSG-7100-245,NSG-7100-265"
abfallbeseitigungsanlagen_materiallagerplaetze,1,1,"Abfallbeseitigungsanlagen,  Materiallagerplätze",NSG-7100-206,§ 6,NSG-7100-206
abfallbeseitigungsanlagen_materiallagerplaetze_einschl,1,1,"6. Abfallbeseitigungsanlagen, Materiallagerplätze einschl.",NSG-7100-148,§ 4,NSG-7100-148
abfallbeseitigungsanlagen_materiallagerplaetze_einschl_schrottlagerplaetze,3,3,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschl. Schrottlagerplätze",NSG-7100-076,§ 4,"NSG-7100-076,NSG-7100-155,NSG-7100-205"
abfallbeseitigungsanlagen_materiallagerplaetze_einschl_schrottplaetze,2,2,"Abfallbeseitigungsanlagen, Materiallagerplätze einschl. Schrottplätze",NSG-7100-267,§ 4,"NSG-7100-267,NSG-7100-309"
abfallbeseitigungsanlagen_materiallagerplaetze_einschl_schrottplaetze_oder,13,13,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschl. Schrottplätze oder",NSG-7100-079,§ 4,"NSG-7100-079,NSG-7100-099,NSG-7100-105,NSG-7100-108,NSG-7100-162,NSG-7100-293,NSG-7100-294,NSG-7100-295,NSG-7100-297,NSG-7100-298,NSG-7100-304,NSG-7100-307,NSG-7100-309"
abfallbeseitigungsanlagen_materiallagerplaetze_einschl_schrottplaetze_oder_auto_,1,1,"6. Abfallbeseitigungsanlagen, Materiallagerplätze einschl. Schrottplätze oder Auto-fried-",NSG-7100-306,§ 4,NSG-7100-306
abfallbeseitigungsanlagen_materiallagerplaetze_einschliess,4,4,"Abfallbeseitigungsanlagen, Materiallagerplätze einschließ-",NSG-7300-114,§ 4,"NSG-7300-114,NSG-7300-130,NSG-7300-131,NSG-7300-135"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich,166,165,"6. Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich",NSG-7100-025,§ 4,"NSG-7100-025,NSG-7100-033,NSG-7100-042,NSG-7100-068,NSG-7100-075,NSG-7100-078,NSG-7100-081,NSG-7100-085,NSG-7100-086,NSG-7100-088,NSG-7100-090,NSG-7100-091,NSG-7100-092,NSG-7100-096,NSG-7100-102,NSG-7100-109,NSG-7100-110,NSG-7100-114,NSG-7100-117,NSG-7100-119…"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrotla,1,1,"5.  Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich Schrotla-",NSG-7100-083,§ 4,NSG-7100-083
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrott,2,2,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich Schrott-",NSG-7100-158,§ 4,"NSG-7100-158,NSG-7300-030"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrottla,8,8,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich Schrottla-",NSG-7100-089,§ 4,"NSG-7100-089,NSG-7100-118,NSG-7100-127,NSG-7100-132,NSG-7100-164,NSG-7300-033,NSG-7300-036,NSG-7300-040"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrottlager,3,3,"3.  Abfallbeseitigungsanlagen,  Materiallagerplätze  einschließlich  Schrottlager-",NSG-7100-017,§ 4,"NSG-7100-017,NSG-7100-088,NSG-7300-129"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrottlagerplaet,8,8,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich Schrottlagerplätze oder",NSG-7100-082,§ 4,"NSG-7100-082,NSG-7100-094,NSG-7100-095,NSG-7100-098,NSG-7100-116,NSG-7100-174,NSG-7100-176,NSG-7100-197"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrottplaetze,7,7,"6.  Abfallbeseitigungsanlagen, Materiallagerplätze einschließlich Schrottplätze",NSG-7100-114,§ 4,"NSG-7100-114,NSG-7100-212,NSG-7100-233,NSG-7100-235,NSG-7100-238,NSG-7100-239,NSG-7100-244"
abfallbeseitigungsanlagen_materiallagerplaetze_einschliesslich_schrottplaetze_od,2,2,"6.  Abfallbeseitigungsanlagen,  Materiallagerplätze  einschließlich  Schrottplätze  oder",NSG-7100-206,§ 4,"NSG-7100-206,NSG-7100-257"
abfallbeseitigungsanlagen_oder_materiallagerplaetze_oder_anlagen_die_der,1,1,"6.  Abfallbeseitigungsanlagen oder Materiallagerplätze oder Anlagen, die der",NSG-7300-047,§ 4,NSG-7300-047
abfallbeseitigungsanlagen_und_materiallagerplaetze_sowie,1,1,Abfallbeseitigungsanlagen und Materiallagerplätze sowie,NSG-7300-055,§ 4,NSG-7300-055
abfallentsorgungsanlagen_materiallagerplaetze_einschl_schrottlager,1,1,"5.  Abfallentsorgungsanlagen, Materiallagerplätze einschl. Schrottlager-",NSG-7100-302,§ 4,NSG-7100-302
abfallentsorgungsanlagen_materiallagerplaetze_einschl_schrottlagerplaetze,1,1,"5.  Abfallentsorgungsanlagen, Materiallagerplätze einschl. Schrottlagerplätze",NSG-7100-093,§ 4,NSG-7100-093
abfallentsorgungsanlagen_materiallagerplaetze_einschl_schrottplaetze_o,1,1,"5. Abfallentsorgungsanlagen, Materiallagerplätze einschl. Schrottplätze o-",NSG-7100-276,§ 4,NSG-7100-276
abfallentsorgungsanlagen_materiallagerplaetze_einschl_schrottplaetze_oder,3,3,"5.  Abfallentsorgungsanlagen, Materiallagerplätze einschl. Schrottplätze oder",NSG-7100-290,§ 4,"NSG-7100-290,NSG-7100-292,NSG-7100-296"
abfallentsorgungsanlagen_materiallagerplaetze_einschliesslich_schrottplaetze_ode,1,1,"6.  Abfallentsorgungsanlagen,  Materiallagerplätze  einschließlich  Schrottplätze  oder",NSG-7100-008,§ 4,NSG-7100-008
abfallhaufen_beseitigt_oder_verbrennt,1,1,Abfallhaufen beseitigt oder verbrennt;,NSG-7100-108,§ 6,NSG-7100-108
abfindung_in_den_bodenordnungsverfahren_notwendig_wer_den_sofern,1,1,"Abfindung in den Bodenordnungsverfahren notwendig wer-den, sofern",NSG-7100-270,"§ 4 Abs. 2 Nrn. 8 bis 10,",NSG-7100-270
abgang_der_gemarkungsgrenze_steinfeld_scheibenhardt_nach_sueden_bis_zum,1,1,Abgang der Gemarkungsgrenze Steinfeld-Scheibenhardt nach Süden bis zum,NSG-7300-042,§ 2,NSG-7300-042
abgang_des_nach_sueden_fuehrenden_weges_flurstueck_nr,1,1,Abgang des nach Süden führenden Weges Flurstück -Nr.,NSG-7300-114,§ 2,NSG-7300-114
abgang_eines_von_westen_ankommenden_feldweges_und_verlaeuft,1,1,Abgang eines von Westen ankommenden Feldweges und verläuft,NSG-7300-103,§ 2,NSG-7300-103
abgeaendert,1,1,abgeändert.,NSG-7300-203,§ 7 Inkrafttreten,NSG-7300-203
abgegrenzt,1,1,abgegrenzt:,NSG-7100-245,§ 2,NSG-7100-245
abgegrenzten_eisflaeche_des_retzbergweihers,1,1,"abgegrenzten Eisfläche des Retzbergweihers,",NSG-7300-083,§ 5,NSG-7300-083
abgehenden_weges_flstk_1736_3,1,1,"abgehenden Weges,  Flstk. 1736/3.",NSG-7300-219,§ 2 Größe und Grenzverlauf,NSG-7300-219
abgesprochen_sind,1,1,abgesprochen sind;,NSG-7300-201,§ 5,NSG-7300-201
abgestimmt_ist,1,1,abgestimmt ist.,NSG-7300-188,"§ 4 ist nicht anzuwenden auf Maßnahmen oder Handlungen, die er-",NSG-7300-188
abgestimmt_sind,1,1,"abgestimmt sind,",NSG-7100-299,"§  4  Abs.  1  Nr.  13  und  mit  Ausnahme  der  Rodung  von  Wald,  der",NSG-7100-299
abgestimmt_werden,24,10,"abgestimmt werden,",NSG-7100-099,§ 5,"NSG-7100-099,NSG-7100-105,NSG-7100-108,NSG-7100-162,NSG-7100-295,NSG-7100-297,NSG-7100-298,NSG-7100-304,NSG-7100-307,NSG-7100-309"
abgestimmt_wurden,8,8,abgestimmt wurden.,NSG-7100-103,§ 8,"NSG-7100-103,NSG-7100-281,NSG-7100-287,NSG-7100-289,NSG-7300-202,NSG-7300-215,NSG-7300-224,NSG-7300-225"
abgestimmte_ausbaumassnah_men_an_den_deichen,1,1,abgestimmte Ausbaumaßnah-men an den Deichen;,NSG-7300-177,§ 4 ist darüber hinaus nicht anzuwenden auf,NSG-7300-177
abgestimmte_offenhaltung_des_gebietes_durch_beweidung_mahd_oder,1,1,"abgestimmte Offenhaltung des Gebietes durch Beweidung, Mahd oder",NSG-7300-224,"§ 4 ist nicht anzuwenden auf Handlungen oder Maßnahmen, die",NSG-7300-224
abgestimmten_forsteinrichtungsplan_neu_anlegt_oder_veraendert,1,1,abgestimmten Forsteinrichtungsplan neu anlegt oder verändert;,NSG-7300-031,§ 6,NSG-7300-031
abgestimmten_forsteinrichtungsplan_neu_anlegt_oder_zu_unterhaelt,1,1,abgestimmten Forsteinrichtungsplan neu anlegt oder zu unterhält;,NSG-7300-030,§ 6,NSG-7300-030
abgestimmten_forsteinrichtungsplan_neu_anzulegen_oder_zu_veraendern,2,2,abgestimmten Forsteinrichtungsplan neu anzulegen oder zu verändern;,NSG-7300-030,§ 4,"NSG-7300-030,NSG-7300-031"
abgestimmten_massnahmen_oder_handlungen_die_der_kennzeichnung_dem,2,2,"abgestimmten Maßnahmen oder Handlungen, die der Kennzeichnung, dem",NSG-7300-219,§ 5 Ausnahmen von den Verboten,"NSG-7300-219,NSG-7300-223"
abgestimmten_radweg_zwischen_bingen_und_ingelheim,1,1,abgestimmten Radweg zwischen Bingen und Ingelheim;,NSG-7300-019,§ 4 ist ferner nicht anzuwenden auf,NSG-7300-019
abgraben_aufschuetten_auffuellen_oder_auf_andere_weise,1,1,"Abgraben, Aufschütten, Auffüllen oder auf andere Weise",NSG-7300-185,§ 6,NSG-7300-185
abgrabungen,1,1,Abgrabungen);,NSG-7300-183,§ 4,NSG-7300-183
abgrenzung,1,1,Abgrenzung,NSG-7100-254,§ 2,NSG-7100-254
abknick_dieser_grundstuecksgrenze_von_diesem_punkt_in_gerader,1,1,Abknick dieser Grundstücksgrenze. Von diesem Punkt in gerader,NSG-7300-049,§ 2,NSG-7300-049
ablagert_autowracks_abstellt_oder_sonstige_verunreinigungen,1,1,"ablagert, Autowracks abstellt oder sonstige Verunreinigungen",NSG-7300-122,§ 6,NSG-7300-122
ablagert_einbringt_oder_sonstige_verunreinigun_gen_vornimmt,1,1,"ablagert, einbringt oder sonstige Verunreinigun-gen vornimmt;",NSG-7300-019,§ 6,NSG-7300-019
ablagert_einbringt_oder_sonstige_verunreinigungen_vor,1,1,"ablagert, einbringt oder sonstige Verunreinigungen vor-",NSG-7300-180,§ 6,NSG-7300-180
ablagert_einbringt_oder_verunreinigungen_vornimmt,1,1,"ablagert, einbringt oder Verunreinigungen vornimmt;",NSG-7300-223,"§ 4 Nr. 2 Flächen als Lager-, Abstell-, Stell-, Sport-, Spiel-, Abenteuerspiel-,",NSG-7300-223
ablauf_der_bestehenden_pacht_vertraege,1,1,Ablauf der bestehenden Pacht-verträge;,NSG-7300-019,§ 4 ist ferner nicht anzuwenden auf,NSG-7300-019
ablauf_der_zulassung,1,1,Ablauf der Zulassung;,NSG-7300-193,§ 4 ist ferner nicht anzuwenden auf,NSG-7300-193
ableitet_bzw_zutage_foerdert_oder_entnimmt,5,5,ableitet bzw. zutage fördert oder entnimmt.“,NSG-7100-047,§ 7,"NSG-7100-047,NSG-7100-048,NSG-7100-061,NSG-7100-063,NSG-7100-128"
ableitet_zu_tage_foerdert_oder_entnimmt,1,1,"ableitet, zu Tage fördert oder entnimmt,",NSG-7100-105,§ 4 Abs. 1 Nr. 9 stationäre oder fahrbare Verkaufsstände aufstellt oder,NSG-7100-105
ableitet_zu_tage_zu_foerdert_oder_entnimmt,1,1,"ableitet, zu Tage zu fördert oder entnimmt,",NSG-7100-309,§ 7,NSG-7100-309
abreisst_ausgraebt_entfernt_oder_auf_sonstige_weise_beschaedigt,1,1,"abreißt, ausgräbt, entfernt oder auf sonstige Weise beschädigt,",NSG-7100-266,§ 7,NSG-7100-266
abringt,1,1,abringt;,NSG-7100-061,§ 5,NSG-7100-061
abs_1_baugesetzbuch_zur_erweiterung_bestehender_privile,1,1,Abs. 1 Baugesetzbuch zur Erweiterung bestehender privile-,NSG-7300-202,§ 5,NSG-7300-202
abs_1_nr_19,1,1,"4 Abs. 1 Nr. 19,",NSG-7100-188,§ 5,NSG-7100-188
abs_1_nr_26_27_und_28,1,1,"Abs. 1 Nr. 26, 27 und 28,",NSG-7100-293,§ 5,NSG-7100-293
abs_1_nr_8,2,2,Abs. 1 Nr. 8“.,NSG-7300-020,§ 3,"NSG-7300-020,NSG-7300-021"
abs_2,2,1,Abs. 2;,NSG-7300-141,§ 5,NSG-7300-141
abs_2_des_landesjagdgesetzes_soweit_deren_standorte_einver,1,1,"Abs. 2 des Landesjagdgesetzes, soweit deren Standorte einver-",NSG-7300-216,"§ 4 ist nicht anzuwenden auf Handlungen oder Maßnahmen, die er-",NSG-7300-216
abs_2_landesjagd,1,1,Abs. 2 Landesjagd-,NSG-7300-210,"§ 4 ist nicht anzuwenden auf Handlungen oder Maßnahmen, die er-",NSG-7300-210
abs_2_landesjagdgesetz_bleiben_unberuehrt,1,1,Abs. 2 Landesjagdgesetz bleiben unberührt;,NSG-7300-208,"§ 4  ist  nicht  anzuwenden  auf  Handlungen  oder  Maßnahmen,  die",NSG-7300-208
abs_2_landesjagdgesetz_bleibt_unberuehrt_sowie_zur_errichtung,3,3,"Abs. 2 Landesjagdgesetz bleibt unberührt, sowie zur Errichtung",NSG-7300-209,"§ 4 ist nicht anzuwenden auf Handlungen oder Maßnahmen, die er-","NSG-7300-209,NSG-7300-212,NSG-7300-213"
abs_2_nr_1,27,27,Abs. 2 Nr. 1;,NSG-7300-110,§ 5,"NSG-7300-110,NSG-7300-112,NSG-7300-115,NSG-7300-116,NSG-7300-117,NSG-7300-118,NSG-7300-119,NSG-7300-120,NSG-7300-121,NSG-7300-144,NSG-7300-145,NSG-7300-147,NSG-7300-148,NSG-7300-149,NSG-7300-150,NSG-7300-151,NSG-7300-152,NSG-7300-153,NSG-7300-155,NSG-7300-156…"
abs_2_nr_1_sowie_die_planfestgestellte,1,1,Abs. 2 Nr. 1 sowie die planfestgestellte,NSG-7300-167,§ 5,NSG-7300-167
